irwinid,fire_name,agency,year_,alarm_date,cont_date,fire_duration,duration_bucket,c_method,objective,cause,gis_acres,centroid,lat,lon
{E42D5340-7F01-40FE-9791-73B8C077135F},JONES,CDF,2020.0,2020-08-17 07:00:00,2020-09-28 07:00:00,42.0,15–45 days (extended attack),3.0,1.0,1,705.546,POINT (-121.10385881129065 39.27375859531934),39.27375859531934,-121.10385881129065
,DRUM,CCO,2020.0,2020-06-14 07:00:00,2020-06-17 07:00:00,3.0,0–5 days (initial attack),1.0,1.0,2,695.4706,POINT (-120.2638338373007 34.63371591339386),34.63371591339386,-120.2638338373007
{75ACF0A2-FBCF-4BC6-AF99-BB28865C3F95},AMORUSO,CDF,2020.0,2020-06-01 07:00:00,2020-06-04 07:00:00,3.0,0–5 days (initial attack),1.0,1.0,2,685.585,POINT (-121.37105085680298 38.82750941289951),38.82750941289951,-121.37105085680298
{0DF1645C-5A67-4734-89A6-172330D04945},BULLFROG,USF,2020.0,2020-09-08 07:00:00,2020-11-09 08:00:00,62.0,46–95 days (long duration),7.0,1.0,14,654.6398,POINT (-119.02353702441428 37.12733885982051),37.12733885982051,-119.02353702441428
{F847702C-2B8A-4AA7-9024-06DBB35415AF},ROWHER,USF,2020.0,2020-07-01 07:00:00,2020-07-09 07:00:00,8.0,6–14 days (short duration),7.0,1.0,7,648.1807,POINT (-118.32105658676207 34.55571303742227),34.55571303742227,-118.32105658676207
{C6C8DEA1-C739-4B3D-AB7A-5F691F282396},TRIMMER,USF,2020.0,2020-08-03 07:00:00,2020-09-01 07:00:00,29.0,15–45 days (extended attack),8.0,1.0,14,593.8648,POINT (-119.23263437695667 36.90163979150165),36.90163979150165,-119.23263437695667
{54629DE8-0E93-4F7D-B8D3-EF06771FDAF1},R-2 TRUMBULL,BLM,2020.0,2020-06-23 07:00:00,2020-06-28 07:00:00,5.0,0–5 days (initial attack),1.0,1.0,1,576.6608,POINT (-120.20274037571328 40.50321423542057),40.50321423542057,-120.20274037571328
{8F150B67-32DC-496F-AE06-AFBD27AF51DC},SITES,CDF,2020.0,2020-08-02 07:00:00,2020-08-02 07:00:00,0.0,,1.0,1.0,14,569.5134,POINT (-122.46881656576969 39.3074617017481),39.3074617017481,-122.46881656576969
{BA295E6F-1BA1-454C-B1AD-2ADD19F4C67F},LAKE,CDF,2020.0,2020-07-04 07:00:00,2020-07-04 07:00:00,0.0,,1.0,1.0,10,567.0063,POINT (-120.00318464555451 35.385420987448455),35.385420987448455,-120.00318464555451
{2B5E95A0-375C-41FB-A895-0BEE6F22E4EC},R-8 PINECODE,BLM,2020.0,2020-08-24 07:00:00,2020-08-29 07:00:00,5.0,0–5 days (initial attack),7.0,1.0,1,566.4945,POINT (-120.5306314318439 40.779019648905475),40.779019648905475,-120.5306314318439
{DB0B9472-74B9-4D89-8E78-A792C26FE4F2},COLEMAN,USF,2020.0,2020-10-18 07:00:00,2020-11-15 08:00:00,28.0,15–45 days (extended attack),8.0,1.0,14,562.9138,POINT (-121.34201357063279 36.10964974145412),36.10964974145412,-121.34201357063279
{5E07CF68-655D-4B9F-AD8A-6A524097F2FC},BADGER,CDF,2020.0,2020-07-18 07:00:00,2020-07-19 07:00:00,1.0,0–5 days (initial attack),1.0,1.0,10,557.3061,POINT (-122.6393676458822 41.79202462659834),41.79202462659834,-122.6393676458822
